Date,Open,High,Low,Close,Adj Close,Volume
2022-12-20,2.560000,3.030000,2.540000,2.820000,2.820000,356523400
2022-12-21,2.850000,2.890000,2.590000,2.610000,2.610000,296265100
2022-12-22,2.640000,2.660000,2.510000,2.600000,2.600000,184677300
2022-12-23,2.620000,2.830000,2.620000,2.680000,2.680000,195172100
2022-12-26,2.710000,2.730000,2.560000,2.660000,2.660000,73999000
2022-12-27,2.670000,2.710000,2.500000,2.520000,2.520000,147780600
2022-12-28,2.540000,2.740000,2.510000,2.690000,2.690000,195250600
2022-12-29,2.710000,2.800000,2.660000,2.740000,2.740000,130046200
2023-01-02,2.650000,2.660000,2.550000,2.590000,2.590000,70129500
2023-01-03,2.600000,2.760000,2.500000,2.540000,2.540000,164163800
2023-01-04,2.590000,2.610000,2.500000,2.550000,2.550000,148041300
2023-01-05,2.580000,2.710000,2.510000,2.660000,2.660000,174089300
2023-01-06,2.670000,2.770000,2.600000,2.760000,2.760000,143904100
2023-01-09,2.680000,2.900000,2.660000,2.830000,2.830000,141723200
2023-01-10,2.790000,3.090000,2.760000,3.050000,3.050000,192054800
2023-01-11,3.070000,3.110000,2.900000,3.030000,3.030000,170364500
2023-01-12,2.700000,3.280000,2.690000,3.190000,3.190000,383841100
2023-01-13,3.160000,3.620000,3.090000,3.430000,3.430000,315639000
2023-01-16,3.380000,3.960000,3.370000,3.850000,3.850000,223987500
2023-01-17,3.900000,4.020000,3.660000,3.790000,3.790000,253024500
2023-01-18,3.840000,3.880000,3.520000,3.560000,3.560000,227221500
2023-01-19,3.470000,3.920000,3.460000,3.810000,3.810000,268759600
2023-01-20,3.850000,3.880000,3.730000,3.820000,3.820000,158285100
2023-01-23,3.860000,4.090000,3.840000,4.040000,4.040000,180447500
2023-01-24,4.080000,4.450000,4.050000,4.390000,4.390000,228809000
2023-01-25,4.390000,4.670000,4.290000,4.350000,4.350000,233689700
2023-01-26,4.380000,4.460000,4.200000,4.280000,4.280000,183211400
2023-01-27,4.310000,4.580000,4.290000,4.530000,4.530000,147788900
2023-01-30,4.590000,4.650000,4.280000,4.360000,4.360000,154878400
2023-01-31,4.390000,4.490000,4.310000,4.430000,4.430000,111160000
2023-02-01,4.400000,4.420000,4.160000,4.290000,4.290000,143788400
2023-02-02,4.270000,4.540000,4.230000,4.340000,4.340000,147482500
2023-02-03,4.370000,4.380000,4.190000,4.270000,4.270000,113736800
2023-02-06,4.270000,4.370000,4.090000,4.130000,4.130000,104867600
2023-02-07,4.170000,4.230000,3.880000,4.050000,4.050000,167794700
2023-02-08,4.110000,4.230000,4.010000,4.220000,4.220000,144116800
2023-02-09,4.220000,4.340000,4.050000,4.110000,4.110000,127978300
2023-02-10,4.060000,4.140000,3.960000,3.990000,3.990000,118030000
2023-02-13,3.990000,4.200000,3.910000,4.130000,4.130000,118107700
2023-02-14,4.150000,4.220000,4.010000,4.060000,4.060000,115253900
2023-02-15,4.040000,4.080000,3.830000,3.890000,3.890000,201460500
2023-02-16,3.890000,3.940000,3.710000,3.810000,3.810000,151942100
2023-02-17,3.750000,3.800000,3.640000,3.660000,3.660000,93416200
2023-02-22,3.600000,3.600000,3.450000,3.520000,3.520000,72979400
2023-02-23,3.530000,3.670000,3.490000,3.560000,3.560000,83697000
2023-02-24,3.660000,3.870000,3.570000,3.610000,3.610000,127658800
2023-02-27,3.690000,3.770000,3.590000,3.650000,3.650000,102066100
2023-02-28,3.660000,3.740000,3.590000,3.590000,3.590000,71491900
2023-03-01,3.640000,3.650000,3.220000,3.230000,3.230000,139734500
2023-03-02,3.240000,3.290000,3.110000,3.150000,3.150000,94544200
2023-03-03,3.160000,3.180000,3.000000,3.020000,3.020000,118111800
2023-03-06,3.040000,3.250000,2.940000,3.190000,3.190000,140828400
2023-03-07,3.190000,3.260000,3.130000,3.220000,3.220000,86132300
2023-03-08,3.210000,3.540000,3.190000,3.430000,3.430000,154796900
2023-03-09,3.400000,3.570000,3.360000,3.390000,3.390000,105372200
2023-03-10,3.170000,3.420000,3.000000,3.400000,3.400000,241854000
2023-03-13,3.360000,3.840000,3.330000,3.720000,3.720000,189746500
2023-03-14,3.720000,3.880000,3.670000,3.730000,3.730000,128858200
2023-03-15,3.650000,3.880000,3.570000,3.810000,3.810000,134376300
2023-03-16,3.850000,3.990000,3.840000,3.890000,3.890000,99487300
2023-03-17,3.880000,3.920000,3.760000,3.780000,3.780000,80268000
2023-03-20,3.850000,3.880000,3.640000,3.710000,3.710000,83912100
2023-03-21,3.730000,3.780000,3.670000,3.700000,3.700000,61171000
2023-03-22,3.690000,3.750000,3.560000,3.590000,3.590000,119055600
2023-03-23,3.600000,3.600000,3.040000,3.110000,3.110000,250190300
2023-03-24,3.220000,3.300000,3.100000,3.230000,3.230000,118058300
2023-03-27,3.290000,3.400000,3.260000,3.340000,3.340000,75519600
2023-03-28,3.330000,3.420000,3.240000,3.380000,3.380000,81280700
2023-03-29,3.420000,3.460000,3.210000,3.350000,3.350000,102855100
2023-03-30,3.430000,3.580000,3.420000,3.440000,3.440000,99832400
2023-03-31,3.440000,3.470000,3.230000,3.310000,3.310000,83482700
2023-04-03,3.330000,3.360000,3.190000,3.310000,3.310000,64968800
